What is the capital of France?,Paris,Madrid,Berlin,Paris
Which planet is known as the Red Planet?,Mars,Venus,Mars,Jupiter
Who painted the Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Leonardo da Vinci,Vincent van Gogh
What is the largest mammal?,Blue whale,Blue whale,Giraffe,Elephant
How many continents are there?,7,6,5,7
Which language has the most native speakers?,Mandarin,Mandarin,English,Spanish
What is the chemical symbol for gold?,Au,Pb,Au,Ag
In what year did WWII end?,1945,1945,1951,1939
What is the tallest mountain on Earth?,Mount Everest,Kilimanjaro,Mount Everest,K2
Which country invented tea?,China,Japan,India,China
