Who is the king of the gods in Greek mythology?,Zeus
Which hero is known for completing the Twelve Labors?,Heracles (Hercules)
What creature has the head of a bull and the body of a man?,The Minotaur
Who is the Greek goddess of wisdom and warfare?,Athena
Which Titan is condemned to hold up the sky for eternity?,Atlas
What is the name of the three-headed dog guarding the Underworld?,Cerberus
Which god is associated with the sun, music, and prophecy?,Apollo
Who famously flew too close to the sun with wax wings?,Icarus
What weapon does Zeus wield as the god of thunder?,The thunderbolt (or lightning bolt)
Who is the queen of the Underworld and wife of Hades?,Persephone
