What is the only even prime number?,2
How many sides does a nonagon have?,9
What is the value of Pi rounded to two decimal places?,3.14
Which famous mathematician wrote "Elements," the foundational work of geometry?,Euclid
What is the smallest perfect number (a number equal to the sum of its proper divisors)?,6
In the Fibonacci sequence, what number comes after 8?,13
What is the name of the theorem that states a² + b² = c² in a right triangle?,Pythagorean theorem
How many zeros are in one googol?,100
Which number is considered a "magic number" in math due to its unique properties?,7
What is the term for a polygon with seven sides?,Heptagon
