What was the first high-level programming language?,Fortran (1957)
Which data structure uses LIFO (Last In First Out) principle?,Stack
What does 'HTTP' stand for in web addresses?,HyperText Transfer Protocol
Which company created the first commercially available computer mouse?,Xerox (1973)
What is origin of the name of the first computer 'bug'?,An actual moth (found in Harvard's Mark II 1947)
Which encryption algorithm does Bitcoin use for proof-of-work?,SHA-256
What does 'GPU' stand for?,Graphics Processing Unit
Which year was Python programming language released?,1991
What is the main difference between RAM and ROM?,RAM is volatile (temporary) ROM is non-volatile (permanent)
Who is considered the first computer programmer?,Ada Lovelace (wrote algorithms for Babbage's Analytical Engine)
